Zipcode,2021-01-01/2021-01-05,2021-01-06/2021-01-10,2021-01-11/2021-01-15,2021-01-16/2021-01-20,2021-01-21/2021-01-25,2021-01-26/2021-01-30,2021-01-31/2021-02-04,2021-02-05/2021-02-09,2021-02-10/2021-02-14,2021-02-15/2021-02-19,2021-02-20/2021-02-24,2021-02-25/2021-03-01,2021-03-02/2021-03-06,2021-03-07/2021-03-11,2021-03-12/2021-03-16,2021-03-17/2021-03-21,2021-03-22/2021-03-26,2021-03-27/2021-03-31,2021-04-01/2021-04-05,2021-04-06/2021-04-10,2021-04-11/2021-04-15,2021-04-16/2021-04-20,2021-04-21/2021-04-25,2021-04-26/2021-04-30,2021-05-01/2021-05-05,2021-05-06/2021-05-10,2021-05-11/2021-05-15,2021-05-16/2021-05-20,2021-05-21/2021-05-25,2021-05-26/2021-05-30,2021-05-31/2021-06-04,2021-06-05/2021-06-09,2021-06-10/2021-06-14,2021-06-15/2021-06-19,2021-06-20/2021-06-24,2021-06-25/2021-06-29,2021-06-30/2021-07-04,2021-07-05/2021-07-09,2021-07-10/2021-07-14,2021-07-15/2021-07-19,2021-07-20/2021-07-24,2021-07-25/2021-07-29,2021-07-30/2021-08-03,2021-08-04/2021-08-08,2021-08-09/2021-08-13,2021-08-14/2021-08-18,2021-08-19/2021-08-23,2021-08-24/2021-08-28,2021-08-29/2021-09-02,2021-09-03/2021-09-07,2021-09-08/2021-09-12,2021-09-13/2021-09-17,2021-09-18/2021-09-22,2021-09-23/2021-09-27,2021-09-28/2021-10-02,2021-10-03/2021-10-07,2021-10-08/2021-10-12,2021-10-13/2021-10-17,2021-10-18/2021-10-22,2021-10-23/2021-10-27,2021-10-28/2021-11-01,2021-11-02/2021-11-06,2021-11-07/2021-11-11,2021-11-12/2021-11-16,2021-11-17/2021-11-21,2021-11-22/2021-11-26,2021-11-27/2021-12-01,2021-12-02/2021-12-06,2021-12-07/2021-12-11,2021-12-12/2021-12-16,2021-12-17/2021-12-21,2021-12-22/2021-12-26,2021-12-27/2021-12-31,2022-01-01/2022-01-05,2022-01-06/2022-01-10,2022-01-11/2022-01-15,2022-01-16/2022-01-20,2022-01-21/2022-01-25,2022-01-26/2022-01-30,2022-01-31/2022-02-04,2022-02-05/2022-02-09,2022-02-10/2022-02-14,2022-02-15/2022-02-19,2022-02-20/2022-02-24,2022-02-25/2022-03-01,2022-03-02/2022-03-06,2022-03-07/2022-03-11,2022-03-12/2022-03-16,2022-03-17/2022-03-21,2022-03-22/2022-03-26,2022-03-27/2022-03-31,2022-04-01/2022-04-05,2022-04-06/2022-04-10,2022-04-11/2022-04-15,2022-04-16/2022-04-20,2022-04-21/2022-04-25,2022-04-26/2022-04-30,2022-05-01/2022-05-05,2022-05-06/2022-05-10,2022-05-11/2022-05-15,2022-05-16/2022-05-20,2022-05-21/2022-05-25,2022-05-26/2022-05-30,2022-05-31/2022-06-04,2022-06-05/2022-06-09,2022-06-10/2022-06-14,2022-06-15/2022-06-19,2022-06-20/2022-06-24,2022-06-25/2022-06-29,2022-06-30/2022-07-04,2022-07-05/2022-07-09,2022-07-10/2022-07-14,2022-07-15/2022-07-19,2022-07-20/2022-07-24,2022-07-25/2022-07-29,2022-07-30/2022-08-03,2022-08-04/2022-08-08,2022-08-09/2022-08-13,2022-08-14/2022-08-18,2022-08-19/2022-08-23,2022-08-24/2022-08-28,2022-08-29/2022-09-02,2022-09-03/2022-09-07,2022-09-08/2022-09-12,2022-09-13/2022-09-17,2022-09-18/2022-09-22,2022-09-23/2022-09-27,2022-09-28/2022-10-02,2022-10-03/2022-10-07,2022-10-08/2022-10-12,2022-10-13/2022-10-17,2022-10-18/2022-10-22,2022-10-23/2022-10-27,2022-10-28/2022-11-01,2022-11-02/2022-11-06,2022-11-07/2022-11-11,2022-11-12/2022-11-16,2022-11-17/2022-11-21,2022-11-22/2022-11-26,2022-11-27/2022-12-01,2022-12-02/2022-12-06,2022-12-07/2022-12-11,2022-12-12/2022-12-16,2022-12-17/2022-12-21,2022-12-22/2022-12-26,2022-12-27/2022-12-31,2023-01-01/2023-01-05,2023-01-06/2023-01-10,2023-01-11/2023-01-15,2023-01-16/2023-01-20,2023-01-21/2023-01-25,2023-01-26/2023-01-30,2023-01-31/2023-02-04,2023-02-05/2023-02-09,2023-02-10/2023-02-14,2023-02-15/2023-02-19,2023-02-20/2023-02-24,2023-02-25/2023-03-01,2023-03-02/2023-03-06,2023-03-07/2023-03-11,2023-03-12/2023-03-16,2023-03-17/2023-03-21,2023-03-22/2023-03-26,2023-03-27/2023-03-31,2023-04-01/2023-04-05,2023-04-06/2023-04-10,2023-04-11/2023-04-15,2023-04-16/2023-04-20,2023-04-21/2023-04-25,2023-04-26/2023-04-30,2023-05-01/2023-05-05,2023-05-06/2023-05-10,2023-05-11/2023-05-15,2023-05-16/2023-05-20,2023-05-21/2023-05-25,2023-05-26/2023-05-30,2023-05-31/2023-06-04,2023-06-05/2023-06-09,2023-06-10/2023-06-14,2023-06-15/2023-06-19,2023-06-20/2023-06-24,2023-06-25/2023-06-29,2023-06-30/2023-07-04,2023-07-05/2023-07-09,2023-07-10/2023-07-14,2023-07-15/2023-07-19,2023-07-20/2023-07-24,2023-07-25/2023-07-29,2023-07-30/2023-08-03,2023-08-04/2023-08-08,2023-08-09/2023-08-13,2023-08-14/2023-08-18,2023-08-19/2023-08-23,2023-08-24/2023-08-28,2023-08-29/2023-09-02,2023-09-03/2023-09-07,2023-09-08/2023-09-12,2023-09-13/2023-09-17,2023-09-18/2023-09-22,2023-09-23/2023-09-27,2023-09-28/2023-10-02,2023-10-03/2023-10-07,2023-10-08/2023-10-12,2023-10-13/2023-10-17,2023-10-18/2023-10-22,2023-10-23/2023-10-27,2023-10-28/2023-11-01,2023-11-02/2023-11-06,2023-11-07/2023-11-11,2023-11-12/2023-11-16,2023-11-17/2023-11-21,2023-11-22/2023-11-26,2023-11-27/2023-12-01,2023-12-02/2023-12-06,2023-12-07/2023-12-11,2023-12-12/2023-12-16,2023-12-17/2023-12-21,2023-12-22/2023-12-26,2023-12-27/2023-12-31,2024-01-01/2024-01-05,2024-01-06/2024-01-10,2024-01-11/2024-01-15,2024-01-16/2024-01-20,2024-01-21/2024-01-25,2024-01-26/2024-01-30,2024-01-31/2024-02-04,2024-02-05/2024-02-09,2024-02-10/2024-02-14,2024-02-15/2024-02-19,2024-02-20/2024-02-24,2024-02-25/2024-02-29,2024-03-01/2024-03-05,2024-03-06/2024-03-10,2024-03-11/2024-03-15,2024-03-16/2024-03-20,2024-03-21/2024-03-25,2024-03-26/2024-03-30,2024-03-31/2024-04-04,2024-04-05/2024-04-09,2024-04-10/2024-04-14,2024-04-15/2024-04-19,2024-04-20/2024-04-24,2024-04-25/2024-04-29,2024-04-30/2024-05-04,2024-05-05/2024-05-09,2024-05-10/2024-05-14,2024-05-15/2024-05-19,2024-05-20/2024-05-24,2024-05-25/2024-05-29,2024-05-30/2024-06-03,2024-06-04/2024-06-08,2024-06-09/2024-06-13,2024-06-14/2024-06-18,2024-06-19/2024-06-23,2024-06-24/2024-06-28,2024-06-29/2024-07-03,2024-07-04/2024-07-08,2024-07-09/2024-07-13,2024-07-14/2024-07-18,2024-07-19/2024-07-23,2024-07-24/2024-07-28,2024-07-29/2024-08-02,2024-08-03/2024-08-07,2024-08-08/2024-08-12,2024-08-13/2024-08-17,2024-08-18/2024-08-22,2024-08-23/2024-08-27,2024-08-28/2024-09-01,2024-09-02/2024-09-06,2024-09-07/2024-09-11,2024-09-12/2024-09-16,2024-09-17/2024-09-21,2024-09-22/2024-09-26,2024-09-27/2024-10-01,2024-10-02/2024-10-06,2024-10-07/2024-10-11,2024-10-12/2024-10-16,2024-10-17/2024-10-21,2024-10-22/2024-10-26,2024-10-27/2024-10-31,2024-11-01/2024-11-05,2024-11-06/2024-11-10,2024-11-11/2024-11-15,2024-11-16/2024-11-20,2024-11-21/2024-11-25,2024-11-26/2024-11-30,2024-12-01/2024-12-05,2024-12-06/2024-12-10,2024-12-11/2024-12-15,2024-12-16/2024-12-20,2024-12-21/2024-12-25,2024-12-26/2024-12-30,2024-12-31/2024-12-31
77012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,3,2,2,1,3,5,3,9,7,5,3,9,4,0,7,4,2,2,2,4,2,3,4,3,3,4,5,1,3,5,5,4,3,2,1,1,0,0,0,0,0,0,0,3,0,0,1,1,1,3,0,1,0,2,2,1,2,6,3,4,6,2,5,3,5,5,3,5,3,3,2,3,6,3,3,10,1,2,8,3,0,2,5,4,3,3,0,4,6,3,3,1,3,3,4,0,2,2,3,7,1,2,4,1,3,2,5,1,3,1,3,0,1,4,3,3,4,1,6,3,2,2,2,1,1,0,2,3,1,2,4,0,3,0,2,4,2,2,0,3,0,1,3,1,1,5,0,1,2,2,2,0
77013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,1,2,11,1,5,1,0,2,0,1,2,2,0,2,1,3,0,4,0,3,2,3,4,4,3,2,1,3,4,3,1,0,2,0,0,0,0,0,0,1,3,0,1,0,2,0,1,0,4,0,2,0,2,1,4,0,0,2,1,2,2,0,3,0,2,0,2,2,2,3,3,6,0,1,4,1,3,0,1,1,5,4,4,0,1,2,1,0,3,0,0,5,2,2,1,2,1,4,4,2,1,2,1,0,2,1,0,2,4,0,1,2,1,2,2,5,0,4,1,1,2,0,1,2,3,3,0,1,3,1,1,2,2,1,0,3,3,4,1,0,1,1,0,4,3,3,3,0,0,0
77014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,4,6,3,3,3,7,2,3,5,3,3,6,3,3,1,7,5,6,5,5,2,2,5,2,3,4,4,1,3,9,4,7,4,3,1,0,0,0,0,0,3,2,1,3,4,3,2,2,0,4,2,3,4,4,4,0,2,4,3,4,2,8,2,4,5,4,2,4,3,4,4,0,7,3,1,2,4,22,10,8,36,23,8,16,2,5,4,2,3,2,5,5,2,2,1,6,3,1,3,3,2,3,0,4,1,1,2,6,3,3,5,1,7,5,1,9,5,4,3,3,0,4,1,2,3,0,0,4,0,1,1,3,2,4,1,0,1,2,0,2,2,2,3,1,6,3,1,6,1,4,0
77016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,6,8,10,12,6,22,21,11,18,13,5,19,16,15,9,14,19,8,14,12,9,8,6,14,15,7,13,9,16,6,16,14,21,17,10,6,1,0,0,0,0,0,4,10,9,11,7,3,7,7,9,12,8,6,6,7,5,11,5,10,5,4,2,6,8,10,6,9,5,4,6,7,7,5,11,11,11,5,7,16,10,5,11,10,8,9,11,6,11,8,12,14,5,7,5,11,8,8,7,7,7,12,6,7,9,6,8,10,5,11,3,7,8,4,5,4,3,13,8,7,7,10,3,2,3,2,5,7,9,3,2,7,3,1,5,5,9,5,9,6,3,7,11,5,10,6,8,9,7,5,11,10,0
77017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,8,9,9,7,4,10,6,18,10,2,7,6,7,9,8,2,7,9,9,8,1,7,4,13,5,7,12,13,6,5,5,7,8,4,3,1,2,0,0,0,0,0,2,3,3,5,5,4,2,2,4,5,4,6,10,4,7,5,10,7,3,6,7,13,4,14,7,9,9,2,2,1,3,5,3,7,11,14,6,24,14,7,4,13,5,5,11,7,6,6,6,4,7,8,5,6,5,8,4,2,5,0,1,11,10,4,8,12,3,6,6,8,1,0,2,2,3,6,3,4,4,11,0,4,5,5,6,8,5,3,1,3,5,2,1,6,3,2,2,7,6,3,7,3,2,4,5,2,11,9,1,11,0
77018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,7,5,1,3,4,5,8,2,4,6,3,4,11,5,2,4,5,3,2,3,2,1,4,5,5,7,1,6,4,2,3,3,2,1,0,0,0,0,0,0,1,1,1,3,1,2,3,2,1,1,2,2,3,6,3,1,7,1,8,5,3,2,3,4,3,1,8,3,0,2,5,3,3,2,5,3,3,5,2,6,5,13,7,6,11,2,5,7,9,5,6,4,3,6,5,5,2,5,9,1,3,3,0,4,3,0,3,8,3,3,2,2,3,3,4,9,7,4,9,8,9,4,6,5,2,7,1,1,2,3,5,2,12,1,5,2,3,6,1,4,2,3,5,4,2,2,1,4,1,4,0
77019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,2,6,1,2,1,0,3,3,4,6,2,3,6,4,1,6,3,5,2,5,2,5,9,5,2,5,5,3,3,7,11,10,0,7,2,0,0,0,0,0,0,1,1,2,1,9,3,0,0,2,1,2,0,6,4,3,7,2,0,6,4,6,0,1,2,2,2,7,4,2,5,1,2,2,3,6,4,9,13,2,5,7,7,2,5,7,3,5,3,2,5,3,4,4,4,8,0,2,4,2,4,4,1,0,5,2,1,1,1,7,3,5,4,8,4,2,2,5,6,2,4,3,1,5,4,2,3,4,3,6,0,3,1,1,2,4,1,2,2,0,2,4,2,4,0,2,1,2,2,0,5,0
77020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,11,6,6,6,9,9,9,4,6,14,7,4,16,5,9,7,7,1,5,9,5,3,3,8,6,6,6,6,6,7,9,8,10,4,1,1,0,0,0,0,0,5,6,4,1,3,2,2,4,0,4,4,1,3,4,1,4,8,2,4,5,12,4,3,5,5,6,6,3,6,2,8,1,3,10,8,4,7,8,7,6,5,8,10,10,10,9,4,5,8,8,4,6,3,9,4,12,4,9,2,6,2,4,6,3,3,2,4,7,5,2,3,2,4,6,6,1,5,6,10,8,2,6,4,9,3,3,3,4,4,2,6,0,6,6,3,4,3,4,0,3,5,3,4,4,7,3,2,8,3,8,0
77021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,11,7,12,8,13,11,7,8,10,10,11,13,14,13,10,22,10,10,11,8,6,21,22,12,7,4,11,5,7,8,7,7,8,5,4,0,0,0,0,0,0,6,4,7,6,4,7,5,6,2,4,5,5,5,6,4,4,14,7,10,10,13,7,5,14,3,12,4,8,11,10,12,3,10,8,12,15,18,10,17,4,7,8,14,8,12,11,7,18,15,6,7,11,8,9,9,7,8,10,6,7,11,8,5,6,5,7,5,5,3,4,7,1,7,6,4,4,4,11,9,11,9,9,9,8,4,5,6,6,8,9,9,6,2,4,10,9,7,6,4,6,6,5,5,2,4,8,1,11,9,11,0
77022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,3,4,7,15,6,6,10,6,4,6,2,8,2,6,5,8,5,5,3,10,9,2,3,6,4,3,4,5,1,6,8,2,7,0,0,0,0,0,0,1,0,7,4,7,1,1,1,1,10,1,1,3,1,5,4,8,3,5,10,5,2,7,1,4,2,8,3,6,6,6,3,3,5,5,6,1,10,8,3,4,5,6,9,10,7,7,8,5,4,4,1,1,7,6,8,3,2,7,7,2,4,2,2,3,3,0,5,3,1,2,3,3,9,4,3,3,3,2,5,3,0,0,4,3,4,6,6,5,6,6,5,3,5,3,4,0,1,3,7,7,8,2,0,3,0,2,4,2,4,0
77023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,1,12,3,5,6,6,9,2,9,5,4,1,8,7,13,11,5,2,12,5,3,6,8,2,9,2,7,7,2,4,7,7,2,0,4,2,0,0,0,0,0,2,8,3,4,6,4,3,2,2,1,1,2,4,3,4,3,4,2,9,7,9,3,3,4,5,5,7,4,1,3,9,4,8,5,8,3,8,13,7,4,6,11,13,9,7,2,3,9,5,4,10,6,4,11,4,4,3,3,5,3,1,5,3,2,1,2,5,2,5,3,5,2,2,2,1,5,3,4,1,1,3,3,6,3,3,2,4,7,7,5,6,7,2,3,1,0,2,4,2,4,5,7,7,6,5,10,6,5,3,2,0
77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,3,3,2,4,12,2,4,3,0,1,3,1,0,0,1,2,0,3,5,1,0,2,2,2,5,0,5,1,1,0,0,0,0,0,0,0,2,3,0,1,1,1,2,2,1,3,2,1,7,1,2,1,3,1,0,6,3,4,0,4,2,2,4,4,3,0,1,1,3,4,2,3,1,3,2,0,3,0,1,2,2,0,0,3,7,3,3,0,0,4,2,1,4,7,1,1,3,2,5,2,5,1,1,1,2,1,0,3,0,0,2,5,11,5,6,4,2,2,1,3,2,1,1,2,3,2,2,2,3,6,0,1,3,1,2,1,0,1,2,2,2,5,4,2,0,2,0
77025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,1,9,6,3,5,3,5,4,2,4,3,2,4,6,3,1,0,4,3,3,4,7,1,1,3,0,1,2,2,1,1,2,3,3,2,0,0,0,0,0,0,1,0,1,2,1,1,1,4,3,2,0,2,0,0,4,0,0,1,0,3,1,4,2,2,2,1,10,2,0,1,2,2,4,0,7,2,5,4,0,1,2,4,6,3,5,6,2,0,5,3,0,2,3,5,4,3,1,2,9,1,4,2,2,2,4,1,0,2,2,0,3,2,0,0,2,13,9,3,3,2,4,2,2,3,4,3,3,1,1,0,3,1,6,6,2,1,1,4,0,3,4,3,4,2,2,2,0,2,2,6,0
77026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,7,5,11,6,4,9,7,11,6,13,8,8,11,12,5,9,10,13,19,17,8,6,6,8,10,10,8,6,3,7,8,12,12,8,8,3,0,0,0,0,0,0,3,3,4,2,3,6,4,5,1,3,2,2,4,4,5,5,8,4,2,2,5,10,12,6,5,2,5,6,8,4,8,0,8,9,7,11,5,8,7,8,6,9,7,13,15,12,11,4,10,6,9,4,3,5,9,5,5,6,3,2,2,5,3,4,1,5,3,8,3,6,1,4,6,7,4,5,8,4,2,4,4,1,4,2,3,4,3,0,5,5,2,9,7,8,4,4,2,2,4,3,4,2,7,0,3,5,3,5,6,6,0
77027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,3,3,1,2,1,0,2,4,3,1,0,1,0,3,1,1,0,2,0,2,2,1,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,3,6,0,1,1,0,0,2,0,3,1,1,0,0,2,1,5,3,0,0,0,0,0,0,1,0,1,0,4,2,0,6,6,1,0,5,1,1,0,4,5,7,1,0,0,0,2,1,2,1,3,1,2,0,0,1,0,0,0,2,1,1,1,3,1,0,0,3,0,0,3,2,0,3,0,6,1,1,2,0,1,0,1,0,0,3,3,0,0,0,0,2,2,0,2,0,2,3,1,1,0,2,2,2,0,1,2,1,0
